epoch  loss  rmse_e(eV/atom)  rmse_f(eV/A)  rmse_v(eV/atom)  rmse_stress(GPa)  gnorm
160 1.661073e-03 0.008151 0.040748 0.000000 0.0000 0.04
161 1.636869e-03 0.001004 0.040458 0.000000 0.0000 0.05
162 1.666639e-03 0.007915 0.040817 0.000000 0.0000 0.08
163 1.723413e-03 0.008241 0.041506 0.000000 0.0000 0.11
164 1.643754e-03 0.004881 0.040540 0.000000 0.0000 0.04
165 1.632663e-03 0.005714 0.040402 0.000000 0.0000 0.03
166 1.621744e-03 0.009929 0.040259 0.000000 0.0000 0.03
167 1.623868e-03 0.002778 0.040296 0.000000 0.0000 0.04
168 1.623995e-03 0.002723 0.040298 0.000000 0.0000 0.04
169 1.618276e-03 0.005959 0.040223 0.000000 0.0000 0.05
170 1.624631e-03 0.008725 0.040297 0.000000 0.0000 0.03
171 1.643744e-03 0.005449 0.040539 0.000000 0.0000 0.06
172 1.603082e-03 0.008179 0.040030 0.000000 0.0000 0.03
173 1.607588e-03 0.002608 0.040094 0.000000 0.0000 0.04
174 1.615245e-03 0.004563 0.040188 0.000000 0.0000 0.07
175 1.707943e-03 0.007459 0.041321 0.000000 0.0000 0.08
176 1.718424e-03 0.006539 0.041449 0.000000 0.0000 0.12
177 1.695996e-03 0.010703 0.041169 0.000000 0.0000 0.11
178 1.641924e-03 0.005282 0.040517 0.000000 0.0000 0.09
179 1.628009e-03 0.007840 0.040341 0.000000 0.0000 0.04
180 1.669176e-03 0.009069 0.040845 0.000000 0.0000 0.06
181 1.657519e-03 0.010079 0.040700 0.000000 0.0000 0.07
182 1.635503e-03 0.015853 0.040410 0.000000 0.0000 0.04
183 1.621933e-03 0.009635 0.040262 0.000000 0.0000 0.06
184 1.629461e-03 0.002932 0.040366 0.000000 0.0000 0.05
185 1.589585e-03 0.002195 0.039869 0.000000 0.0000 0.07
186 1.597810e-03 0.007204 0.039966 0.000000 0.0000 0.05
187 1.631781e-03 0.007779 0.040388 0.000000 0.0000 0.08
188 1.602944e-03 0.002731 0.040036 0.000000 0.0000 0.04
189 1.596267e-03 0.011722 0.039936 0.000000 0.0000 0.07
190 1.603498e-03 0.006183 0.040039 0.000000 0.0000 0.08
191 1.649818e-03 0.005086 0.040615 0.000000 0.0000 0.08
192 1.711080e-03 0.005726 0.041361 0.000000 0.0000 0.14
193 1.968028e-03 0.012532 0.044345 0.000000 0.0000 0.23
194 1.938587e-03 0.011608 0.044014 0.000000 0.0000 0.15
195 2.020489e-03 0.008838 0.044941 0.000000 0.0000 0.17
196 2.039893e-03 0.012510 0.045148 0.000000 0.0000 0.19
197 1.821793e-03 0.013057 0.042662 0.000000 0.0000 0.14
198 1.831294e-03 0.007656 0.042787 0.000000 0.0000 0.18
199 1.660109e-03 0.009816 0.040733 0.000000 0.0000 0.09
200 1.647855e-03 0.003861 0.040592 0.000000 0.0000 0.07
201 1.624274e-03 0.004145 0.040300 0.000000 0.0000 0.05
202 1.606863e-03 0.005897 0.040081 0.000000 0.0000 0.05
203 1.594539e-03 0.007037 0.039925 0.000000 0.0000 0.03
204 1.577962e-03 0.006526 0.039718 0.000000 0.0000 0.02
205 1.569943e-03 0.006017 0.039618 0.000000 0.0000 0.03
206 1.562678e-03 0.002915 0.039530 0.000000 0.0000 0.02
207 1.559878e-03 0.003039 0.039494 0.000000 0.0000 0.03
208 1.566905e-03 0.005898 0.039580 0.000000 0.0000 0.03
209 1.561938e-03 0.003745 0.039520 0.000000 0.0000 0.03
210 1.564272e-03 0.004412 0.039548 0.000000 0.0000 0.04
211 1.584765e-03 0.006917 0.039803 0.000000 0.0000 0.07
212 1.628196e-03 0.006779 0.040345 0.000000 0.0000 0.12
213 1.636772e-03 0.007213 0.040451 0.000000 0.0000 0.09
214 1.585255e-03 0.003323 0.039814 0.000000 0.0000 0.07
215 1.575892e-03 0.005973 0.039693 0.000000 0.0000 0.10
216 1.579953e-03 0.006597 0.039743 0.000000 0.0000 0.05
217 1.562940e-03 0.006429 0.039529 0.000000 0.0000 0.03
218 1.555345e-03 0.006609 0.039432 0.000000 0.0000 0.02
219 1.554726e-03 0.009632 0.039418 0.000000 0.0000 0.03
220 1.550758e-03 0.005424 0.039376 0.000000 0.0000 0.04
221 1.546138e-03 0.003609 0.039319 0.000000 0.0000 0.04
222 1.546025e-03 0.001179 0.039319 0.000000 0.0000 0.02
223 1.546226e-03 0.003030 0.039321 0.000000 0.0000 0.02
224 1.548282e-03 0.001295 0.039348 0.000000 0.0000 0.03
225 1.542671e-03 0.002013 0.039276 0.000000 0.0000 0.04
226 1.541921e-03 0.003258 0.039266 0.000000 0.0000 0.02
227 1.540978e-03 0.001365 0.039255 0.000000 0.0000 0.03
228 1.541364e-03 0.005243 0.039257 0.000000 0.0000 0.04
229 1.555415e-03 0.005287 0.039435 0.000000 0.0000 0.03
230 1.551841e-03 0.008602 0.039384 0.000000 0.0000 0.03
231 1.539518e-03 0.009252 0.039226 0.000000 0.0000 0.03
232 1.550037e-03 0.002760 0.039370 0.000000 0.0000 0.04
233 1.543559e-03 0.006885 0.039282 0.000000 0.0000 0.03
234 1.561401e-03 0.010229 0.039501 0.000000 0.0000 0.05
235 1.555085e-03 0.003547 0.039433 0.000000 0.0000 0.06
236 1.554225e-03 0.001934 0.039423 0.000000 0.0000 0.04
237 1.533169e-03 0.001283 0.039155 0.000000 0.0000 0.03
238 1.528515e-03 0.001375 0.039096 0.000000 0.0000 0.02
239 1.529050e-03 0.001584 0.039103 0.000000 0.0000 0.02
240 1.529754e-03 0.002369 0.039111 0.000000 0.0000 0.06
241 1.538183e-03 0.002821 0.039219 0.000000 0.0000 0.05
242 1.573721e-03 0.002970 0.039669 0.000000 0.0000 0.06
243 1.576883e-03 0.004300 0.039708 0.000000 0.0000 0.08
